text,is_task,task
Can you prepare the release notes by Friday?,1,Prepare the release notes by Friday
Hey dont forget to pick up milk on the way home today,1,Pick up milk today
We have a team meeting at 3pm to discuss the new project,1,Schedule meeting for 3pm
There’s a concert at 8pm tonight want to come with me?,0,
What’s the plan for dinner tonight? Do you want to cook or order take out,0,
Please send the quarterly report by next Monday,1,Send the quarterly report by next Monday
Could you call the client and confirm the appointment?,1,Call the client and confirm the appointment
Remember to water the plants tomorrow morning,1,Water the plants tomorrow morning
Are we still on for lunch at noon?,0,
Did you finish the presentation slides?,1,Finish the presentation slides
Let's review the project plan today,1,Review the project plan today
Can you update the spreadsheet with the latest data?,1,Update the spreadsheet with the latest data
Are you free to join the team call at 4pm?,0,
Please order some flowers for the birthday party,1,Order flowers for the birthday party
We need to clean the office this weekend,1,Clean the office this weekend
Was the budget approval completed?,0,
Can you remind me to pay the electricity bill?,1,Remind to pay the electricity bill
What should I pack for the trip next week?,0,
Update me on the client's feedback when you get it,1,Update on the client's feedback
Is there any update on the software deployment?,0,
Make sure to back up the files before the end of the day,1,Back up the files before the end of the day
Can you look for a new conference room for our meeting?,1,Find a new conference room for the meeting